Model,Purchasing Year,Post ODO,Warranty Type,Symptom Code,Damage Code,Related Parts,Related Parts Quantity,Repair Location,Estimated Amount,Labor Hours,Sublet Code,Sublet Amount,Prior ODO,Authorized By,Dealer Code,Warrenty Status,ReasonCode,Generation Logic
MAZDA_CX_70,2024,57073,R,56,81,['S01'],[2],"['H05', 'F02']",560.61,1.7,"['D1', '']",40.05,56786,T,D145,A,ACP,"MAZDA_CX_70 purchased in 2024; 56 leads to 81; ['S01'] used in ['H05', 'F02']; ODO 56786->57073 logically increases"
MAZDA_CX_30,2019,102550,P,42,9E,['E01'],[2],"['H05', 'P01']",1428.1,3.3,['A1'],488.55,102384,W,D070,R,NPF,"MAZDA_CX_30 purchased in 2019; 42 leads to 9E; ['E01'] used in ['H05', 'P01']; ODO 102384->102550 logically increases"
MAZDA3_SEDAN,2018,111372,K,15,8Z,['B01'],[1],"['P01', 'N01']",2136.3,3.3,"['B5', 'D1']",280.23,111117,C,D026,R,WEX,"MAZDA3_SEDAN purchased in 2018; 15 leads to 8Z; ['B01'] used in ['P01', 'N01']; ODO 111117->111372 logically increases"
MAZDA_CX_30,2022,57360,A,20,9E,['E01'],[2],"['F02', 'H01']",185.98,8.6,['B5'],268.58,56878,W,D103,R,PID,"MAZDA_CX_30 purchased in 2022; 20 leads to 9E; ['E01'] used in ['F02', 'H01']; ODO 56878->57360 logically increases"
MAZDA_CX_70,2025,38660,K,45,81,['E01'],[2],['F01'],2446.96,7.7,"['C1', 'K1']",425.61,38285,W,D145,R,BAT,MAZDA_CX_70 purchased in 2025; 45 leads to 81; ['E01'] used in ['F01']; ODO 38285->38660 logically increases
MAZDA_CX_70,2025,8726,R,58,8Z,['S01'],[2],['P01'],596.79,2.2,"['B5', 'K1']",446.64,8642,C,D045,R,NPF,MAZDA_CX_70 purchased in 2025; 58 leads to 8Z; ['S01'] used in ['P01']; ODO 8642->8726 logically increases
MAZDA_MX_5_MIATA,2001,45919,P,44,9E,"['T01', 'B01']","[1, 2]","['N01', 'H01']",897.28,3.5,"['A1', 'K1']",445.5,45700,T,D146,A,ACP,"MAZDA_MX_5_MIATA purchased in 2001; 44 leads to 9E; ['T01', 'B01'] used in ['N01', 'H01']; ODO 45700->45919 logically increases"
MAZDA3_SEDAN,2024,148960,K,37,9D,['E02'],[2],['N01'],321.09,8.1,['B5'],142.35,148747,W,D119,R,WEX,MAZDA3_SEDAN purchased in 2024; 37 leads to 9D; ['E02'] used in ['N01']; ODO 148747->148960 logically increases
MAZDA_CX_5,2025,126748,R,85,81,['B01'],[2],['N01'],77.98,8.2,['K1'],422.05,126329,C,D060,R,DUP,MAZDA_CX_5 purchased in 2025; 85 leads to 81; ['B01'] used in ['N01']; ODO 126329->126748 logically increases
MAZDA3_SEDAN,2004,135036,A,49,9C,"['H01', 'B01']","[1, 2]",['H05'],1075.63,4.7,['E9'],248.04,134902,C,D098,R,LOP,"MAZDA3_SEDAN purchased in 2004; 49 leads to 9C; ['H01', 'B01'] used in ['H05']; ODO 134902->135036 logically increases"
MAZDA_CX_90,2023,35204,P,18,9A,"['S01', 'H01']","[1, 2]",['W01'],656.86,6.3,"['C1', 'B5']",49.15,34761,C,D145,A,ACP,"MAZDA_CX_90 purchased in 2023; 18 leads to 9A; ['S01', 'H01'] used in ['W01']; ODO 34761->35204 logically increases"
MAZDA_CX_70,2024,116867,P,25,9F,"['L01', 'H01']","[1, 2]",['N01'],1840.28,9.6,"['F1', '']",296.23,116672,W,D075,R,RNT,"MAZDA_CX_70 purchased in 2024; 25 leads to 9F; ['L01', 'H01'] used in ['N01']; ODO 116672->116867 logically increases"
MAZDA_CX_50_HYBRID,2025,68135,K,27,81,"['E02', 'E01']","[1, 2]","['F02', 'N01']",1560.79,9.5,['D1'],80.72,67674,C,D025,A,ACP,"MAZDA_CX_50_HYBRID purchased in 2025; 27 leads to 81; ['E02', 'E01'] used in ['F02', 'N01']; ODO 67674->68135 logically increases"
MAZDA3_HATCHBACK,2014,92169,A,34,9D,"['L01', 'E02']","[1, 1]","['F02', 'H01']",1331.17,6.2,"['E9', 'A1']",344.6,91716,W,D087,A,ACP,"MAZDA3_HATCHBACK purchased in 2014; 34 leads to 9D; ['L01', 'E02'] used in ['F02', 'H01']; ODO 91716->92169 logically increases"
MAZDA_CX_50_HYBRID,2025,75755,K,63,9D,"['E01', 'S01']","[2, 1]","['H01', 'W01']",823.18,9.4,['K1'],412.04,75527,W,D143,R,PID,"MAZDA_CX_50_HYBRID purchased in 2025; 63 leads to 9D; ['E01', 'S01'] used in ['H01', 'W01']; ODO 75527->75755 logically increases"
MAZDA_CX_50_HYBRID,2025,126863,K,67,9B,['B01'],[2],"['F01', 'F02']",2300.5,9.4,['K1'],312.08,126539,W,D103,A,ACP,"MAZDA_CX_50_HYBRID purchased in 2025; 67 leads to 9B; ['B01'] used in ['F01', 'F02']; ODO 126539->126863 logically increases"
MAZDA_MX_5_MIATA_RF,2024,131660,K,02,9E,['H01'],[1],"['W01', 'F02']",1052.75,6.9,"['A1', 'F1']",90.74,131607,C,D080,A,ACP,"MAZDA_MX_5_MIATA_RF purchased in 2024; 02 leads to 9E; ['H01'] used in ['W01', 'F02']; ODO 131607->131660 logically increases"
MAZDA_CX_50_HYBRID,2025,61650,P,84,9E,['E02'],[1],"['W01', 'H05']",2055.08,9.7,['K1'],245.69,61536,W,D121,R,MSC,"MAZDA_CX_50_HYBRID purchased in 2025; 84 leads to 9E; ['E02'] used in ['W01', 'H05']; ODO 61536->61650 logically increases"
MAZDA_CX_70,2025,108102,A,93,8Z,['H01'],[2],"['W01', 'H05']",492.31,1.8,"['K1', 'D1']",280.73,107820,C,D132,A,ACP,"MAZDA_CX_70 purchased in 2025; 93 leads to 8Z; ['H01'] used in ['W01', 'H05']; ODO 107820->108102 logically increases"
MAZDA_CX_70_PHEV,2025,62360,A,67,81,"['H01', 'L01']","[1, 2]",['P01'],776.42,4.9,"['C1', 'K1']",359.86,62219,T,D131,A,ACP,"MAZDA_CX_70_PHEV purchased in 2025; 67 leads to 81; ['H01', 'L01'] used in ['P01']; ODO 62219->62360 logically increases"
MAZDA_CX_30,2024,61531,K,04,9F,['E01'],[2],['F02'],2432.47,6.5,['K1'],40.42,61392,T,D066,A,ACP,MAZDA_CX_30 purchased in 2024; 04 leads to 9F; ['E01'] used in ['F02']; ODO 61392->61531 logically increases
MAZDA_CX_70,2025,118826,A,46,9A,['E01'],[1],['H01'],1845.29,4.6,"['F1', 'B5']",268.44,118523,C,D056,R,BRV,MAZDA_CX_70 purchased in 2025; 46 leads to 9A; ['E01'] used in ['H01']; ODO 118523->118826 logically increases
MAZDA_CX_90_PHEV,2024,97858,A,80,8W,"['T01', 'B01']","[1, 2]","['P01', 'W01']",92.07,3.4,['D1'],163.57,97566,C,D139,A,ACP,"MAZDA_CX_90_PHEV purchased in 2024; 80 leads to 8W; ['T01', 'B01'] used in ['P01', 'W01']; ODO 97566->97858 logically increases"
MAZDA_CX_30,2020,118468,R,27,9D,"['H01', 'L01']","[1, 1]","['W01', 'P01']",2089.58,2.4,"['C1', 'E9']",432.92,118162,T,D137,R,WEX,"MAZDA_CX_30 purchased in 2020; 27 leads to 9D; ['H01', 'L01'] used in ['W01', 'P01']; ODO 118162->118468 logically increases"
MAZDA_CX_50,2025,49370,K,13,9B,['B01'],[1],['P01'],2467.32,3.6,['B5'],275.92,49218,C,D133,A,ACP,MAZDA_CX_50 purchased in 2025; 13 leads to 9B; ['B01'] used in ['P01']; ODO 49218->49370 logically increases
MAZDA_CX_5,2019,73278,R,56,81,['B01'],[1],"['F02', 'P01']",850.99,9.8,"['D1', 'K1']",136.03,72989,W,D052,A,ACP,"MAZDA_CX_5 purchased in 2019; 56 leads to 81; ['B01'] used in ['F02', 'P01']; ODO 72989->73278 logically increases"
MAZDA_CX_50_HYBRID,2025,81864,P,41,9D,['H01'],[2],['P01'],1430.28,8.2,['C1'],76.42,81689,W,D044,R,PGM,MAZDA_CX_50_HYBRID purchased in 2025; 41 leads to 9D; ['H01'] used in ['P01']; ODO 81689->81864 logically increases
MAZDA_CX_50,2023,22340,P,88,9F,['H01'],[1],['N01'],2036.56,9.6,['B5'],187.13,22209,T,D033,R,PID,MAZDA_CX_50 purchased in 2023; 88 leads to 9F; ['H01'] used in ['N01']; ODO 22209->22340 logically increases
MAZDA_CX_90_PHEV,2023,79478,K,15,9B,"['E01', 'E02']","[1, 2]","['N01', 'W01']",1463.87,9.5,"['', 'A1']",0,79384,T,D008,R,TML,"MAZDA_CX_90_PHEV purchased in 2023; 15 leads to 9B; ['E01', 'E02'] used in ['N01', 'W01']; ODO 79384->79478 logically increases"
MAZDA_CX_30,2023,150115,R,27,81,"['E01', 'T01']","[1, 1]","['H01', 'N01']",770.89,9.4,"['D1', '']",218.29,149701,T,D055,A,ACP,"MAZDA_CX_30 purchased in 2023; 27 leads to 81; ['E01', 'T01'] used in ['H01', 'N01']; ODO 149701->150115 logically increases"
MAZDA_CX_50_HYBRID,2025,106701,K,35,8Z,"['H01', 'L01']","[1, 1]","['F02', 'N01']",1146.55,5.8,"['D1', 'E9']",245.28,106407,C,D001,R,DSA,"MAZDA_CX_50_HYBRID purchased in 2025; 35 leads to 8Z; ['H01', 'L01'] used in ['F02', 'N01']; ODO 106407->106701 logically increases"
MAZDA_MX_5_MIATA,2012,100596,A,17,9E,['E02'],[2],['F01'],2276.12,5.8,"['E9', '']",316.85,100413,C,D114,R,FIN,MAZDA_MX_5_MIATA purchased in 2012; 17 leads to 9E; ['E02'] used in ['F01']; ODO 100413->100596 logically increases
MAZDA3_HATCHBACK,2005,131104,P,10,9C,['E02'],[2],['P01'],1672.33,4.6,"['E9', 'C1']",436.56,130854,T,D019,A,ACP,MAZDA3_HATCHBACK purchased in 2005; 10 leads to 9C; ['E02'] used in ['P01']; ODO 130854->131104 logically increases
MAZDA_MX_5_MIATA,2019,14276,A,40,8W,['S01'],[2],"['H05', 'P01']",1517.4,7.2,['A1'],251.32,13974,W,D023,R,ATH,"MAZDA_MX_5_MIATA purchased in 2019; 40 leads to 8W; ['S01'] used in ['H05', 'P01']; ODO 13974->14276 logically increases"
MAZDA_CX_30,2019,47859,K,71,9D,"['E02', 'L01']","[1, 1]",['P01'],2026.23,2.1,['A1'],47.87,47375,W,D023,R,RNT,"MAZDA_CX_30 purchased in 2019; 71 leads to 9D; ['E02', 'L01'] used in ['P01']; ODO 47375->47859 logically increases"
MAZDA_CX_90,2023,30485,P,08,9A,"['E01', 'B01']","[1, 1]",['F02'],144.25,4,['D1'],364.41,30368,T,D129,A,ACP,"MAZDA_CX_90 purchased in 2023; 08 leads to 9A; ['E01', 'B01'] used in ['F02']; ODO 30368->30485 logically increases"
MAZDA_CX_50,2024,40253,K,92,8Z,['H01'],[1],"['H05', 'W01']",780.34,9.9,['C1'],87.36,39942,W,D145,R,WEX,"MAZDA_CX_50 purchased in 2024; 92 leads to 8Z; ['H01'] used in ['H05', 'W01']; ODO 39942->40253 logically increases"
MAZDA_CX_30,2025,85484,R,43,9D,['S01'],[1],['N01'],1825.97,2.7,"['B5', 'A1']",215.54,85410,C,D056,R,QTY,MAZDA_CX_30 purchased in 2025; 43 leads to 9D; ['S01'] used in ['N01']; ODO 85410->85484 logically increases
MAZDA_CX_90_PHEV,2024,14607,R,21,9D,"['T01', 'E01']","[1, 1]","['F02', 'H05']",1672.81,9.7,[''],0,14144,C,D131,R,PGM,"MAZDA_CX_90_PHEV purchased in 2024; 21 leads to 9D; ['T01', 'E01'] used in ['F02', 'H05']; ODO 14144->14607 logically increases"
MAZDA_MX_5_MIATA_RF,2021,130689,R,43,9C,"['E01', 'S01']","[1, 1]",['H05'],1512.66,4.4,"['K1', 'E9']",265.31,130575,T,D120,R,APL,"MAZDA_MX_5_MIATA_RF purchased in 2021; 43 leads to 9C; ['E01', 'S01'] used in ['H05']; ODO 130575->130689 logically increases"
MAZDA_CX_50_HYBRID,2025,122981,A,62,9A,['S01'],[2],['F02'],783.59,4.8,['B5'],216.79,122498,T,D116,A,ACP,MAZDA_CX_50_HYBRID purchased in 2025; 62 leads to 9A; ['S01'] used in ['F02']; ODO 122498->122981 logically increases
MAZDA3_HATCHBACK,2006,24730,R,03,9C,"['H01', 'T01']","[2, 2]","['N01', 'F01']",157.39,9.5,"['A1', 'B5']",454.5,24367,W,D095,R,DCO,"MAZDA3_HATCHBACK purchased in 2006; 03 leads to 9C; ['H01', 'T01'] used in ['N01', 'F01']; ODO 24367->24730 logically increases"
MAZDA_CX_70,2024,51275,A,96,8W,"['T01', 'S01']","[2, 1]",['F02'],1784.94,5.2,[''],0,51052,W,D073,A,ACP,"MAZDA_CX_70 purchased in 2024; 96 leads to 8W; ['T01', 'S01'] used in ['F02']; ODO 51052->51275 logically increases"
MAZDA_CX_50_HYBRID,2025,87667,A,66,9B,['T01'],[1],['F01'],1452.75,4.8,['B5'],73.58,87292,C,D042,A,ACP,MAZDA_CX_50_HYBRID purchased in 2025; 66 leads to 9B; ['T01'] used in ['F01']; ODO 87292->87667 logically increases
MAZDA3_HATCHBACK,2007,67896,P,60,9A,"['L01', 'S01']","[2, 1]","['N01', 'F02']",402.49,2.4,"['B5', 'D1']",158.18,67522,C,D054,R,WEX,"MAZDA3_HATCHBACK purchased in 2007; 60 leads to 9A; ['L01', 'S01'] used in ['N01', 'F02']; ODO 67522->67896 logically increases"
MAZDA_CX_50_HYBRID,2025,61933,P,90,9A,"['B01', 'S01']","[1, 1]",['W01'],542.98,5.5,"['F1', 'E9']",370.71,61517,C,D082,R,PID,"MAZDA_CX_50_HYBRID purchased in 2025; 90 leads to 9A; ['B01', 'S01'] used in ['W01']; ODO 61517->61933 logically increases"
MAZDA_MX_5_MIATA_RF,2019,16895,P,21,8Z,"['B01', 'E02']","[1, 2]","['F02', 'N01']",1374.86,3.4,"['B5', 'E9']",338.65,16463,C,D145,R,APL,"MAZDA_MX_5_MIATA_RF purchased in 2019; 21 leads to 8Z; ['B01', 'E02'] used in ['F02', 'N01']; ODO 16463->16895 logically increases"
MAZDA3_HATCHBACK,2003,127867,P,25,9B,"['S01', 'L01']","[2, 1]",['F01'],54.73,7.5,['E9'],103.03,127720,C,D130,R,LOP,"MAZDA3_HATCHBACK purchased in 2003; 25 leads to 9B; ['S01', 'L01'] used in ['F01']; ODO 127720->127867 logically increases"
MAZDA3_HATCHBACK,2005,98485,R,86,9D,['E02'],[2],"['F02', 'H05']",1683.9,4,"['C1', 'D1']",215.01,98408,T,D042,R,NPF,"MAZDA3_HATCHBACK purchased in 2005; 86 leads to 9D; ['E02'] used in ['F02', 'H05']; ODO 98408->98485 logically increases"
MAZDA3_SEDAN,2012,83435,R,54,9F,['E01'],[1],['H05'],123.82,8.4,['E9'],162.8,83170,C,D045,A,ACP,MAZDA3_SEDAN purchased in 2012; 54 leads to 9F; ['E01'] used in ['H05']; ODO 83170->83435 logically increases
MAZDA3_SEDAN,2021,121544,R,74,81,"['E02', 'T01']","[1, 1]","['W01', 'P01']",2143.98,8.4,"['B5', 'A1']",164.43,121453,W,D111,A,ACP,"MAZDA3_SEDAN purchased in 2021; 74 leads to 81; ['E02', 'T01'] used in ['W01', 'P01']; ODO 121453->121544 logically increases"
MAZDA_CX_50,2023,41635,K,95,9F,['E02'],[2],"['H01', 'F01']",109.17,5.8,"['F1', 'K1']",287.15,41284,T,D004,A,ACP,"MAZDA_CX_50 purchased in 2023; 95 leads to 9F; ['E02'] used in ['H01', 'F01']; ODO 41284->41635 logically increases"
MAZDA_MX_5_MIATA_RF,2017,68781,A,27,8W,"['B01', 'E01']","[1, 1]",['P01'],1999.55,6.8,"['E9', '']",190.08,68655,C,D054,A,ACP,"MAZDA_MX_5_MIATA_RF purchased in 2017; 27 leads to 8W; ['B01', 'E01'] used in ['P01']; ODO 68655->68781 logically increases"
MAZDA_CX_5,2015,58859,R,17,81,"['L01', 'T01']","[2, 1]","['H05', 'P01']",1285.93,0.6,['C1'],191.35,58487,C,D088,R,BAT,"MAZDA_CX_5 purchased in 2015; 17 leads to 81; ['L01', 'T01'] used in ['H05', 'P01']; ODO 58487->58859 logically increases"
MAZDA_CX_50,2023,142298,A,46,9E,['B01'],[2],['W01'],2120.09,3.3,['C1'],457.91,142038,T,D105,R,PGM,MAZDA_CX_50 purchased in 2023; 46 leads to 9E; ['B01'] used in ['W01']; ODO 142038->142298 logically increases
MAZDA_CX_70_PHEV,2024,108988,K,29,8W,"['B01', 'T01']","[1, 1]","['H01', 'N01']",1041.27,9.9,"['E9', 'D1']",284.41,108834,W,D051,R,QTY,"MAZDA_CX_70_PHEV purchased in 2024; 29 leads to 8W; ['B01', 'T01'] used in ['H01', 'N01']; ODO 108834->108988 logically increases"
MAZDA_MX_5_MIATA_RF,2022,88595,P,70,9E,"['L01', 'H01']","[2, 1]","['N01', 'H05']",367.17,2.5,['D1'],266.45,88352,T,D054,R,RNT,"MAZDA_MX_5_MIATA_RF purchased in 2022; 70 leads to 9E; ['L01', 'H01'] used in ['N01', 'H05']; ODO 88352->88595 logically increases"
MAZDA3_SEDAN,2007,145716,K,44,8Z,"['L01', 'S01']","[1, 1]","['P01', 'H01']",1760.32,9.8,"['K1', 'C1']",316.76,145449,C,D021,A,ACP,"MAZDA3_SEDAN purchased in 2007; 44 leads to 8Z; ['L01', 'S01'] used in ['P01', 'H01']; ODO 145449->145716 logically increases"
MAZDA_CX_30,2022,105655,K,36,81,"['H01', 'T01']","[1, 2]",['W01'],115.85,1.6,['D1'],368.27,105155,C,D124,R,RNT,"MAZDA_CX_30 purchased in 2022; 36 leads to 81; ['H01', 'T01'] used in ['W01']; ODO 105155->105655 logically increases"
MAZDA_CX_5,2023,111342,P,95,8W,"['E02', 'L01']","[1, 1]",['H01'],568.62,6.5,"['E9', 'C1']",303.63,110898,T,D057,A,ACP,"MAZDA_CX_5 purchased in 2023; 95 leads to 8W; ['E02', 'L01'] used in ['H01']; ODO 110898->111342 logically increases"
MAZDA_CX_90_PHEV,2024,127334,K,22,9D,['E02'],[1],['F02'],1767.96,10,"['A1', 'C1']",209.43,126862,C,D081,A,ACP,MAZDA_CX_90_PHEV purchased in 2024; 22 leads to 9D; ['E02'] used in ['F02']; ODO 126862->127334 logically increases
MAZDA_CX_30,2023,60012,P,81,9B,['L01'],[2],"['F02', 'N01']",2378.38,7.8,['C1'],218.28,59900,T,D032,A,ACP,"MAZDA_CX_30 purchased in 2023; 81 leads to 9B; ['L01'] used in ['F02', 'N01']; ODO 59900->60012 logically increases"
MAZDA_MX_5_MIATA,2003,33297,A,25,9D,"['L01', 'T01']","[1, 1]","['N01', 'H01']",611.34,8.9,"['F1', 'A1']",59.58,32819,C,D148,R,BRV,"MAZDA_MX_5_MIATA purchased in 2003; 25 leads to 9D; ['L01', 'T01'] used in ['N01', 'H01']; ODO 32819->33297 logically increases"
MAZDA_MX_5_MIATA_RF,2019,95170,P,66,81,"['H01', 'E01']","[1, 1]",['P01'],1833.34,0.6,"['E9', 'D1']",60.83,94832,C,D068,R,NPF,"MAZDA_MX_5_MIATA_RF purchased in 2019; 66 leads to 81; ['H01', 'E01'] used in ['P01']; ODO 94832->95170 logically increases"
MAZDA_CX_70_PHEV,2024,107574,K,03,9E,['L01'],[1],['W01'],1535.31,8.1,"['B5', 'F1']",403.48,107371,T,D046,A,ACP,MAZDA_CX_70_PHEV purchased in 2024; 03 leads to 9E; ['L01'] used in ['W01']; ODO 107371->107574 logically increases
MAZDA3_SEDAN,2025,60306,P,49,8Z,['B01'],[2],"['H05', 'N01']",2349.81,7.8,"['D1', 'K1']",68.13,59910,C,D150,A,ACP,"MAZDA3_SEDAN purchased in 2025; 49 leads to 8Z; ['B01'] used in ['H05', 'N01']; ODO 59910->60306 logically increases"
MAZDA3_HATCHBACK,2007,11857,K,90,9A,"['E02', 'H01']","[1, 1]","['F02', 'P01']",1890.97,6.7,['A1'],498.74,11533,W,D122,A,ACP,"MAZDA3_HATCHBACK purchased in 2007; 90 leads to 9A; ['E02', 'H01'] used in ['F02', 'P01']; ODO 11533->11857 logically increases"
MAZDA3_SEDAN,2007,40185,K,25,9B,"['E01', 'S01']","[1, 1]",['N01'],92.73,5.3,"['K1', 'A1']",347.86,39997,T,D109,A,ACP,"MAZDA3_SEDAN purchased in 2007; 25 leads to 9B; ['E01', 'S01'] used in ['N01']; ODO 39997->40185 logically increases"
MAZDA_MX_5_MIATA,1992,16902,P,30,9A,['B01'],[2],"['H01', 'H05']",2105.21,0.7,"['E9', 'C1']",376.2,16691,T,D085,R,PID,"MAZDA_MX_5_MIATA purchased in 1992; 30 leads to 9A; ['B01'] used in ['H01', 'H05']; ODO 16691->16902 logically increases"
MAZDA_CX_90_PHEV,2025,113680,P,37,9D,['T01'],[2],"['W01', 'H05']",684.22,6.1,['D1'],301.94,113298,W,D060,A,ACP,"MAZDA_CX_90_PHEV purchased in 2025; 37 leads to 9D; ['T01'] used in ['W01', 'H05']; ODO 113298->113680 logically increases"
MAZDA_CX_5,2025,48224,K,57,9D,"['S01', 'T01']","[1, 1]",['P01'],703.2,5.9,"['K1', 'C1']",469.9,47937,W,D061,A,ACP,"MAZDA_CX_5 purchased in 2025; 57 leads to 9D; ['S01', 'T01'] used in ['P01']; ODO 47937->48224 logically increases"
MAZDA_CX_50,2022,12990,K,23,9E,['H01'],[1],"['W01', 'F02']",957.43,0.8,[''],0,12624,C,D030,A,ACP,"MAZDA_CX_50 purchased in 2022; 23 leads to 9E; ['H01'] used in ['W01', 'F02']; ODO 12624->12990 logically increases"
MAZDA3_HATCHBACK,2019,142503,A,95,9F,"['E02', 'S01']","[1, 2]",['N01'],1262.31,3.4,['C1'],183.75,142214,C,D131,R,DSA,"MAZDA3_HATCHBACK purchased in 2019; 95 leads to 9F; ['E02', 'S01'] used in ['N01']; ODO 142214->142503 logically increases"
MAZDA3_HATCHBACK,2025,29783,P,44,9D,"['H01', 'B01']","[2, 2]",['P01'],1872.57,2.7,['D1'],326.82,29658,C,D052,R,RNT,"MAZDA3_HATCHBACK purchased in 2025; 44 leads to 9D; ['H01', 'B01'] used in ['P01']; ODO 29658->29783 logically increases"
MAZDA_MX_5_MIATA_RF,2018,130119,K,53,9A,"['S01', 'L01']","[1, 1]",['H05'],2341.87,7.6,['F1'],432.72,129733,W,D092,A,ACP,"MAZDA_MX_5_MIATA_RF purchased in 2018; 53 leads to 9A; ['S01', 'L01'] used in ['H05']; ODO 129733->130119 logically increases"
MAZDA_CX_90_PHEV,2023,138226,P,59,9C,['E02'],[1],['P01'],2480.59,5.3,['K1'],462.09,137854,W,D015,R,SUB,MAZDA_CX_90_PHEV purchased in 2023; 59 leads to 9C; ['E02'] used in ['P01']; ODO 137854->138226 logically increases
MAZDA_CX_90,2024,139293,K,05,9D,"['T01', 'L01']","[2, 1]",['F02'],411.9,9.5,['K1'],219.62,138928,T,D021,R,PID,"MAZDA_CX_90 purchased in 2024; 05 leads to 9D; ['T01', 'L01'] used in ['F02']; ODO 138928->139293 logically increases"
